cross_pair,d0_cross,d0_same,abs_diff
block_cont_r2__lead_nec_r7,0.400763,0.402049,0.001286
block_cont_r2__lead_nec_r8,0.386319,0.384711,0.001608
block_cont_r2__lead_nec_r9,0.391668,0.391344,0.000324
block_cont_r2__lead_opt_r1,0.391896,0.392251,0.000355
block_cont_r2__lead_opt_r10,0.378602,0.378423,0.000179
block_cont_r2__lead_opt_r11,0.418285,0.418222,6.3e-05
block_cont_r2__lead_opt_r12,0.406257,0.406798,0.000541
block_cont_r2__lead_opt_r2,0.408391,0.408424,3.3e-05
block_cont_r2__lead_opt_r3,0.38142,0.381362,5.8e-05
block_cont_r2__lead_opt_r4,0.406124,0.405467,0.000657
block_cont_r2__lead_opt_r5,0.376623,0.376583,4e-05
block_cont_r2__lead_opt_r6,0.388691,0.388673,1.8e-05
block_cont_r2__lead_opt_r7,0.37864,0.378423,0.000217
block_cont_r2__lead_opt_r8,0.367074,0.367193,0.000119
block_cont_r2__lead_opt_r9,0.376726,0.376583,0.000143
block_cont_r3__cross_clear_r1,0.350634,0.350628,6e-06
block_cont_r3__cross_clear_r10,0.116713,0.11593,0.000783
block_cont_r3__cross_clear_r11,0.360412,0.360465,5.3e-05
block_cont_r3__cross_clear_r12,0.223707,0.223719,1.2e-05
block_cont_r3__cross_clear_r2,0.318034,0.318053,1.9e-05
block_cont_r3__cross_clear_r3,0.40351,0.403661,0.000151
block_cont_r3__cross_clear_r4,0.360948,0.360787,0.000161
block_cont_r3__cross_clear_r5,0.310176,0.310253,7.7e-05
block_cont_r3__cross_clear_r6,0.207952,0.208267,0.000315
block_cont_r3__cross_clear_r7,0.377106,0.377087,1.9e-05
block_cont_r3__cross_clear_r8,0.311005,0.310984,2.1e-05
block_cont_r3__cross_clear_r9,0.296098,0.295149,0.000949
block_cont_r3__cross_stall_occ_r1,0.084576,0.084616,4e-05
block_cont_r3__cross_stall_occ_r10,0.061585,0.061713,0.000128
block_cont_r3__cross_stall_occ_r11,0.043968,0.043968,0.0
block_cont_r3__cross_stall_occ_r12,0.098655,0.098523,0.000132
block_cont_r3__cross_stall_occ_r2,0.098382,0.098523,0.000141
block_cont_r3__cross_stall_occ_r3,0.050079,0.050088,9e-06
block_cont_r3__cross_stall_occ_r4,0.098835,0.098523,0.000312
block_cont_r3__cross_stall_occ_r5,0.086353,0.086316,3.7e-05
block_cont_r3__cross_stall_occ_r6,0.095739,0.095962,0.000223
block_cont_r3__cross_stall_occ_r7,0.088547,0.088547,0.0
block_cont_r3__cross_stall_occ_r8,0.094951,0.094976,2.5e-05
block_cont_r3__cross_stall_occ_r9,0.034188,0.034107,8.1e-05
block_cont_r3__cross_stall_r1,0.371655,0.371865,0.00021
block_cont_r3__cross_stall_r10,0.367019,0.366912,0.000107
block_cont_r3__cross_stall_r11,0.340543,0.340569,2.6e-05
block_cont_r3__cross_stall_r12,0.360308,0.360249,5.9e-05
block_cont_r3__cross_stall_r2,0.381703,0.381542,0.000161
block_cont_r3__cross_stall_r3,0.357533,0.357546,1.3e-05
block_cont_r3__cross_stall_r4,0.37072,0.370395,0.000325
block_cont_r3__cross_stall_r5,0.331232,0.331249,1.7e-05
block_cont_r3__cross_stall_r6,0.364254,0.364271,1.7e-05
block_cont_r3__cross_stall_r7,0.367364,0.367261,0.000103
block_cont_r3__cross_stall_r8,0.378034,0.37773,0.000304
block_cont_r3__cross_stall_r9,0.35543,0.355417,1.3e-05
block_cont_r3__lead_cont_r1,0.097319,0.097339,2e-05
block_cont_r3__lead_cont_r10,0.111398,0.110548,0.00085
block_cont_r3__lead_cont_r11,0.078417,0.078333,8.4e-05
block_cont_r3__lead_cont_r12,0.106711,0.106555,0.000156
block_cont_r3__lead_cont_r2,0.121382,0.121398,1.6e-05
block_cont_r3__lead_cont_r3,0.080255,0.080268,1.3e-05
block_cont_r3__lead_cont_r4,0.10859,0.108675,8.5e-05
block_cont_r3__lead_cont_r5,0.115624,0.11593,0.000306
block_cont_r3__lead_cont_r6,0.128217,0.128256,3.9e-05
block_cont_r3__lead_cont_r7,0.106884,0.10698,9.6e-05
block_cont_r3__lead_cont_r8,0.110853,0.110548,0.000305
block_cont_r3__lead_cont_r9,0.094627,0.094653,2.6e-05
block_cont_r3__lead_nec_r1,0.38956,0.388913,0.000647
block_cont_r3__lead_nec_r10,0.397746,0.397654,9.2e-05
block_cont_r3__lead_nec_r11,0.393958,0.393452,0.000506
block_cont_r3__lead_nec_r12,0.411425,0.412135,0.00071
block_cont_r3__lead_nec_r2,0.413629,0.413797,0.000168
block_cont_r3__lead_nec_r3,0.395803,0.396099,0.000296
block_cont_r3__lead_nec_r4,0.409068,0.409041,2.7e-05
